R,epoch,CP_params,dense_params,compression,C_L2,use_smoothing,smooth_strength,train_acc,train_balanced_acc,train_auc,train_sensitivity_ASD,train_specificity_CONTROL,train_pred_0,train_pred_1,train_prob_mean,train_prob_std,test_acc,test_balanced_acc,test_auc,test_sensitivity_ASD,test_specificity_CONTROL,test_pred_0,test_pred_1,test_prob_mean,test_prob_std,bias,elapsed_sec
1,1,296,27163301,91767.90878378379,1.0,True,0.1,0.7817258883248731,0.7811180339217723,0.8539517710857274,0.7740740740454046,0.788161993744917,314,277,0.4822661961557018,0.27074179061389836,0.4797297297297297,0.48125,0.44540441176470585,0.49999999992647065,0.46249999994218755,71,77,0.5077389879444884,0.28076456081031764,-0.06767438728378308,2098.3236050605774
1,2,296,27163301,91767.90878378379,1.0,True,0.1,0.8189509306260575,0.8197992384908273,0.9044998269297335,0.8296296295989026,0.8099688473267922,306,285,0.4750755112843119,0.3179493126720346,0.4527027027027027,0.44852941176470584,0.4363970588235294,0.3970588234710208,0.49999999993750005,81,67,0.49426985339636487,0.32146723197393706,-0.14652948210367817,6688.320388793945
1,3,296,27163301,91767.90878378379,1.0,True,0.1,0.8341793570219966,0.8349948078920042,0.9243336794738664,0.8444444444131687,0.825545171313846,307,284,0.47093233556784697,0.33209776827179993,0.47297297297297297,0.4716911764705882,0.43878676470588235,0.455882352874135,0.4874999999390625,76,72,0.49144038132669776,0.3432063858999777,-0.25033944900099037,10844.54990363121
1,4,296,27163301,91767.90878378379,1.0,True,0.1,0.8527918781725888,0.8530114226375909,0.9311526479750779,0.8555555555238683,0.8504672896931318,312,279,0.4703521048750136,0.3362481215241355,0.4864864864864865,0.4852941176470588,0.446875,0.47058823522491355,0.49999999993750005,76,72,0.4874633787685597,0.3546332815564506,-0.3061993204303869,15864.767698764801
1,5,296,27163301,91767.90878378379,1.0,True,0.1,0.868020304568528,0.8679127725856698,0.9381446867428176,0.8666666666345679,0.8691588784775963,315,276,0.46852195346650755,0.34553335431582266,0.47297297297297297,0.4716911764705882,0.45330882352941176,0.455882352874135,0.4874999999390625,76,72,0.47893692191808834,0.3664697737423486,-0.3661120386893404,18741.57219529152
2,1,591,27163301,45961.59221658207,1.0,True,0.1,0.868020304568528,0.86644167532018,0.9476520133841007,0.8481481481167352,0.88473520246465,325,266,0.46327758143869924,0.36261545638876613,0.5608108108108109,0.5551470588235294,0.5441176470588236,0.4852941175756921,0.624999999921875,85,63,0.42712917312708476,0.3663977838385457,-0.5373378692622987,1913.7464730739594
2,2,591,27163301,45961.59221658207,1.0,True,0.1,0.9864636209813875,0.9860678435444791,0.996250144225222,0.9814814814451303,0.9906542055766151,323,268,0.4521599744588317,0.43001502272178677,0.5405405405405406,0.5319852941176471,0.5626838235294118,0.4264705881725779,0.6374999999203126,90,58,0.4074847845859164,0.4272302472317623,-1.1043544638006937,3719.1278204917908
2,3,591,27163301,45961.59221658207,1.0,True,0.1,0.9949238578680203,0.9947386638975424,0.9999653859466944,0.9925925925558299,0.9968847351714366,322,269,0.4537065544274636,0.4434130799581316,0.5202702702702703,0.5099264705882353,0.5564338235294117,0.38235294112024226,0.6374999999203126,93,55,0.38383732575288104,0.4299009962858715,-1.0959890368243277,5513.515529155731
2,4,591,27163301,45961.59221658207,1.0,True,0.1,1.0,1.0,1.0,0.999999999962963,0.9999999999688474,321,270,0.45416090435327006,0.44960520582111413,0.5472972972972973,0.5371323529411764,0.5764705882352942,0.41176470582179936,0.6624999999171876,93,55,0.3893141480713276,0.4330672381038703,-1.0520685514375534,10231.82432770729
2,5,591,27163301,45961.59221658207,1.0,True,0.1,0.751269035532995,0.7513153340256145,0.852232606438214,0.7518518518240055,0.7507788161759882,308,283,0.4826526757497976,0.2819718932762438,0.5337837837837838,0.5301470588235294,0.5612132352941176,0.4852941175756921,0.574999999928125,81,67,0.4618444658732845,0.3004765579747865,-0.14511167099717084,12047.685907840729
3,1,886,27163301,30658.353273137698,1.0,True,0.1,0.9120135363790186,0.9110591900311527,0.9729202722972194,0.8999999999666667,0.9221183800335788,323,268,0.45950692450193314,0.3861488567312266,0.5202702702702703,0.5198529411764705,0.5433823529411765,0.5147058822772492,0.5249999999343751,75,73,0.4828623413263438,0.4045979273419285,-0.37994598209596864,1814.2606813907623
3,2,886,27163301,30658.353273137698,1.0,True,0.1,1.0,1.0,1.0,0.999999999962963,0.9999999999688474,321,270,0.45326849932134944,0.45794541948539386,0.5472972972972973,0.5393382352941176,0.5536764705882353,0.44117647052335646,0.6374999999203126,89,59,0.40198220514586813,0.4251457421016138,-0.9120306259262893,3628.269596338272
3,3,886,27163301,30658.353273137698,1.0,True,0.1,1.0,1.0,1.0,0.999999999962963,0.9999999999688474,321,270,0.45623567736964066,0.4494195950106402,0.5878378378378378,0.5801470588235295,0.5963235294117647,0.4852941175756921,0.6749999999156251,89,59,0.40278333869751304,0.4185963963280424,-0.5850808465260956,5450.775220632553
3,4,886,27163301,30658.353273137698,1.0,True,0.1,1.0,1.0,1.0,0.999999999962963,0.9999999999688474,321,270,0.45941939295004713,0.43319145414596066,0.5945945945945946,0.5875,0.5897058823529411,0.49999999992647065,0.6749999999156251,88,60,0.415796125009419,0.4120497006724041,-0.4409466710298785,7265.777544021606
3,5,886,27163301,30658.353273137698,1.0,True,0.1,1.0,1.0,1.0,0.999999999962963,0.9999999999688474,321,270,0.4575791844082951,0.4279645771769074,0.5472972972972973,0.5415441176470588,0.5393382352941176,0.47058823522491355,0.6124999999234375,85,63,0.4247665179270232,0.40717379069792015,-0.3768066721731456,9080.049349308014
